"entity_key","date","year","year_season","year_quarter","year_month","year_week","season_number","season","season_de","season_einkauf","month","week","day_of_month","day_of_week","day_name","month_name","last_day_of_month","last_day_of_week","business_day","working_days","next_ship_day"
104,2012-04-13,2012,"2012-1-SS","2012-Q2","2012-04","2012-15",1,SS,FS,FS12,4,15,13,5,Friday   ,April    ,2012-04-30,2012-04-15,2012-04-13,1,2012-04-16
105,2012-04-14,2012,"2012-1-SS","2012-Q2","2012-04","2012-15",1,SS,FS,FS12,4,15,14,6,Saturday ,April    ,2012-04-30,2012-04-15,2012-04-16,0,2012-04-16
106,2012-04-15,2012,"2012-1-SS","2012-Q2","2012-04","2012-15",1,SS,FS,FS12,4,15,15,7,Sunday   ,April    ,2012-04-30,2012-04-15,2012-04-16,0,2012-04-16
107,2012-04-16,2012,"2012-1-SS","2012-Q2","2012-04","2012-16",1,SS,FS,FS12,4,16,16,1,Monday   ,April    ,2012-04-30,2012-04-22,2012-04-16,1,2012-04-17
108,2012-04-17,2012,"2012-1-SS","2012-Q2","2012-04","2012-16",1,SS,FS,FS12,4,16,17,2,Tuesday  ,April    ,2012-04-30,2012-04-22,2012-04-17,1,2012-04-18
109,2012-04-18,2012,"2012-1-SS","2012-Q2","2012-04","2012-16",1,SS,FS,FS12,4,16,18,3,Wednesday,April    ,2012-04-30,2012-04-22,2012-04-18,1,2012-04-19
110,2012-04-19,2012,"2012-1-SS","2012-Q2","2012-04","2012-16",1,SS,FS,FS12,4,16,19,4,Thursday ,April    ,2012-04-30,2012-04-22,2012-04-19,1,2012-04-20
111,2012-04-20,2012,"2012-1-SS","2012-Q2","2012-04","2012-16",1,SS,FS,FS12,4,16,20,5,Friday   ,April    ,2012-04-30,2012-04-22,2012-04-20,1,2012-04-23
112,2012-04-21,2012,"2012-1-SS","2012-Q2","2012-04","2012-16",1,SS,FS,FS12,4,16,21,6,Saturday ,April    ,2012-04-30,2012-04-22,2012-04-23,0,2012-04-23
113,2012-04-22,2012,"2012-1-SS","2012-Q2","2012-04","2012-16",1,SS,FS,FS12,4,16,22,7,Sunday   ,April    ,2012-04-30,2012-04-22,2012-04-23,0,2012-04-23
114,2012-04-23,2012,"2012-1-SS","2012-Q2","2012-04","2012-17",1,SS,FS,FS12,4,17,23,1,Monday   ,April    ,2012-04-30,2012-04-29,2012-04-23,1,2012-04-24
115,2012-04-24,2012,"2012-1-SS","2012-Q2","2012-04","2012-17",1,SS,FS,FS12,4,17,24,2,Tuesday  ,April    ,2012-04-30,2012-04-29,2012-04-24,1,2012-04-25
116,2012-04-25,2012,"2012-1-SS","2012-Q2","2012-04","2012-17",1,SS,FS,FS12,4,17,25,3,Wednesday,April    ,2012-04-30,2012-04-29,2012-04-25,1,2012-04-26
